Reading,seconds_from_UTC_00:00:00],Lon[deg],Lat[deg],Elevation[m],CV-1.0m
1,72998.014,-105.07602598,39.01820896,2512.794,6.367
2,72998.178,-105.07602579,39.01820844,2512.729,5.703
3,72998.329,-105.07602562,39.01820796,2512.669,5.742
4,72998.507,-105.07602541,39.01820740,2512.597,6.367
5,72998.671,-105.07602522,39.01820687,2512.531,5.586
6,72998.849,-105.07602501,39.01820631,2512.460,5.547
7,72999.017,-105.07602477,39.01820584,2512.388,5.352
8,72999.236,-105.07602401,39.01820595,2512.235,5.977
9,72999.454,-105.07602324,39.01820606,2512.082,5.742
10,72999.673,-105.07602248,39.01820617,2511.929,5.977
11,72999.891,-105.07602172,39.01820628,2511.777,6.016
12,73000.090,-105.07602183,39.01820567,2511.709,6.445
13,73000.284,-105.07602289,39.01820425,2511.728,6.406
14,73000.462,-105.07602388,39.01820294,2511.746,6.367
15,73000.642,-105.07602486,39.01820163,2511.764,5.859
16,73000.836,-105.07602593,39.01820020,2511.784,5.977
17,73001.017,-105.07602694,39.01819884,2511.798,5.625
18,73001.200,-105.07602803,39.01819714,2511.780,5.352
19,73001.400,-105.07602923,39.01819526,2511.760,4.922
20,73001.617,-105.07603053,39.01819324,2511.738,5.273
21,73001.818,-105.07603174,39.01819137,2511.718,5.664
22,73002.032,-105.07603314,39.01818941,2511.703,5.977
23,73002.219,-105.07603491,39.01818791,2511.722,6.445
24,73002.407,-105.07603670,39.01818641,2511.741,5.625
25,73002.579,-105.07603833,39.01818503,2511.758,5.820
26,73002.782,-105.07604026,39.01818341,2511.778,6.133
27,73002.969,-105.07604204,39.01818191,2511.797,5.625
28,73003.150,-105.07604328,39.01818074,2511.800,5.859
29,73003.329,-105.07604441,39.01817964,2511.800,6.250
30,73003.508,-105.07604555,39.01817853,2511.800,6.523
31,73003.702,-105.07604678,39.01817734,2511.800,5.977
32,73003.866,-105.07604782,39.01817632,2511.800,5.781
33,73004.063,-105.07604929,39.01817483,2511.806,6.094
34,73004.235,-105.07605098,39.01817299,2511.824,6.250
35,73004.438,-105.07605297,39.01817083,2511.844,5.742
36,73004.625,-105.07605481,39.01816883,2511.863,5.469
37,73004.828,-105.07605681,39.01816667,2511.883,6.016
38,73005.017,-105.07605864,39.01816469,2511.895,6.211
39,73005.216,-105.07606027,39.01816299,2511.835,6.172
40,73005.417,-105.07606190,39.01816129,2511.775,5.859
41,73005.616,-105.07606353,39.01815960,2511.715,6.328
42,73005.817,-105.07606517,39.01815789,2511.655,6.523
43,73006.015,-105.07606680,39.01815619,2511.597,6.172
44,73006.197,-105.07606847,39.01815433,2511.561,5.703
45,73006.394,-105.07607028,39.01815233,2511.521,5.625
46,73006.576,-105.07607195,39.01815048,2511.485,5.898
47,73006.742,-105.07607347,39.01814879,2511.452,6.445
48,73006.940,-105.07607528,39.01814678,2511.412,6.016
49,73007.123,-105.07607674,39.01814514,2511.400,6.797
50,73007.308,-105.07607809,39.01814360,2511.400,6.172
51,73007.508,-105.07607956,39.01814193,2511.400,5.430
52,73007.692,-105.07608091,39.01814040,2511.400,5.859
53,73007.877,-105.07608226,39.01813886,2511.400,6.523
54,73008.043,-105.07608346,39.01813751,2511.396,6.875
55,73008.229,-105.07608473,39.01813612,2511.377,6.562
56,73008.400,-105.07608590,39.01813483,2511.360,6.523
57,73008.586,-105.07608717,39.01813344,2511.341,6.914
58,73008.758,-105.07608834,39.01813215,2511.324,7.070
59,73008.929,-105.07608951,39.01813087,2511.307,6.484
60,73009.128,-105.07609109,39.01812937,2511.313,5.820
61,73009.345,-105.07609294,39.01812774,2511.335,5.625
62,73009.564,-105.07609479,39.01812610,2511.356,6.523
63,73009.781,-105.07609664,39.01812447,2511.378,6.758
64,73010.015,-105.07609864,39.01812271,2511.399,6.875
65,73010.200,-105.07610033,39.01812120,2511.380,6.719
66,73010.384,-105.07610202,39.01811970,2511.362,6.133
67,73010.569,-105.07610372,39.01811818,2511.343,6.133
68,73010.754,-105.07610541,39.01811668,2511.325,5.938
69,73010.939,-105.07610711,39.01811517,2511.306,5.859
70,73011.129,-105.07610857,39.01811361,2511.339,6.094
71,73011.323,-105.07610993,39.01811203,2511.397,6.133
72,73011.533,-105.07611139,39.01811032,2511.460,5.859
73,73011.727,-105.07611275,39.01810873,2511.518,6.367
74,73011.920,-105.07611410,39.01810716,2511.576,5.625
75,73012.108,-105.07611519,39.01810587,2511.622,5.898
76,73012.308,-105.07611616,39.01810470,2511.662,6.094
77,73012.477,-105.07611697,39.01810372,2511.695,5.859
78,73012.661,-105.07611786,39.01810264,2511.732,6.055
79,73012.861,-105.07611883,39.01810148,2511.772,6.367
80,73013.042,-105.07611987,39.01810035,2511.800,6.641
81,73013.211,-105.07612136,39.01809908,2511.800,5.742
82,73013.394,-105.07612298,39.01809771,2511.800,6.172
83,73013.564,-105.07612448,39.01809644,2511.800,6.016
84,73013.719,-105.07612585,39.01809528,2511.800,6.367
85,73013.887,-105.07612734,39.01809401,2511.800,6.289
86,73014.086,-105.07612915,39.01809255,2511.774,6.445
87,73014.294,-105.07613112,39.01809106,2511.712,6.289
88,73014.500,-105.07613308,39.01808958,2511.650,6.289
