Reading,seconds_from_UTC_00:00:00],East[m],North[m],Elevation[m],IV-1.0m
1,72998.014,493418.464,4318799.974,2512.794,-0.330
2,72998.178,493418.481,4318799.916,2512.729,-0.316
3,72998.329,493418.496,4318799.863,2512.669,-0.325
4,72998.507,493418.514,4318799.800,2512.597,-0.314
5,72998.671,493418.530,4318799.742,2512.531,-0.305
6,72998.849,493418.548,4318799.680,2512.460,-0.298
7,72999.017,493418.569,4318799.628,2512.388,-0.326
8,72999.236,493418.635,4318799.640,2512.235,-0.319
9,72999.454,493418.701,4318799.652,2512.082,-0.319
10,72999.673,493418.767,4318799.664,2511.929,-0.347
11,72999.891,493418.833,4318799.676,2511.777,-0.342
12,73000.090,493418.824,4318799.609,2511.709,-0.301
13,73000.284,493418.731,4318799.451,2511.728,-0.325
14,73000.462,493418.646,4318799.306,2511.746,-0.307
15,73000.642,493418.560,4318799.160,2511.764,-0.299
16,73000.836,493418.468,4318799.002,2511.784,-0.332
17,73001.017,493418.381,4318798.851,2511.798,-0.304
18,73001.200,493418.286,4318798.662,2511.780,-0.279
19,73001.400,493418.181,4318798.454,2511.760,-0.303
20,73001.617,493418.069,4318798.230,2511.738,-0.319
21,73001.818,493417.964,4318798.022,2511.718,-0.330
22,73002.032,493417.843,4318797.805,2511.703,-0.374
23,73002.219,493417.689,4318797.639,2511.722,-0.444
24,73002.407,493417.534,4318797.472,2511.741,-0.573
25,73002.579,493417.393,4318797.320,2511.758,-0.619
26,73002.782,493417.226,4318797.140,2511.778,-0.519
27,73002.969,493417.072,4318796.974,2511.797,-0.489
28,73003.150,493416.964,4318796.844,2511.800,-0.504
29,73003.329,493416.866,4318796.722,2511.800,-0.472
30,73003.508,493416.767,4318796.599,2511.800,-0.423
31,73003.702,493416.661,4318796.466,2511.800,-0.431
32,73003.866,493416.571,4318796.354,2511.800,-0.454
33,73004.063,493416.444,4318796.188,2511.806,-0.412
34,73004.235,493416.297,4318795.985,2511.824,-0.418
