Reading,seconds_from_UTC_00:00:00],Lon[deg],Lat[deg],CV-0.5m,IV-0.5m
1,72998.014,-105.07602598,39.01820896,-13.242,-0.820
2,72998.178,-105.07602579,39.01820844,-14.297,-0.841
3,72998.329,-105.07602562,39.01820796,-14.961,-0.848
4,72998.507,-105.07602541,39.01820740,-16.055,-0.840
5,72998.671,-105.07602522,39.01820687,-16.250,-0.832
6,72998.849,-105.07602501,39.01820631,-15.625,-0.831
7,72999.017,-105.07602477,39.01820584,-15.156,-0.834
8,72999.236,-105.07602401,39.01820595,-15.703,-0.813
9,72999.454,-105.07602324,39.01820606,-15.703,-0.768
10,72999.673,-105.07602248,39.01820617,-15.703,-0.782
11,72999.891,-105.07602172,39.01820628,-14.844,-0.760
12,73000.090,-105.07602183,39.01820567,-14.727,-0.721
13,73000.284,-105.07602289,39.01820425,-14.766,-0.747
14,73000.462,-105.07602388,39.01820294,-15.391,-0.775
15,73000.642,-105.07602486,39.01820163,-14.688,-0.795
16,73000.836,-105.07602593,39.01820020,-14.258,-0.824
17,73001.017,-105.07602694,39.01819884,-14.609,-0.780
18,73001.200,-105.07602803,39.01819714,-21.211,-0.692
19,73001.400,-105.07602923,39.01819526,-20.625,-0.659
20,73001.617,-105.07603053,39.01819324,-17.734,-0.681
21,73001.818,-105.07603174,39.01819137,-16.328,-0.704
22,73002.032,-105.07603314,39.01818941,-15.898,-0.772
23,73002.219,-105.07603491,39.01818791,-17.148,-0.860
24,73002.407,-105.07603670,39.01818641,-16.641,-0.905
25,73002.579,-105.07603833,39.01818503,-16.016,-0.928
26,73002.782,-105.07604026,39.01818341,-16.523,-0.909
27,73002.969,-105.07604204,39.01818191,-16.797,-0.883
28,73003.150,-105.07604328,39.01818074,-16.328,-0.896
29,73003.329,-105.07604441,39.01817964,-16.406,-0.892
30,73003.508,-105.07604555,39.01817853,-14.492,-0.873
31,73003.702,-105.07604678,39.01817734,-13.477,-0.874
32,73003.866,-105.07604782,39.01817632,-14.570,-0.847
33,73004.063,-105.07604929,39.01817483,-15.508,-0.787
34,73004.235,-105.07605098,39.01817299,-15.781,-0.785
35,73004.438,-105.07605297,39.01817083,-15.977,-0.803
36,73004.625,-105.07605481,39.01816883,-14.141,-0.796
37,73004.828,-105.07605681,39.01816667,-12.461,-0.822
38,73005.017,-105.07605864,39.01816469,-14.141,-0.859
39,73005.216,-105.07606027,39.01816299,-14.297,-0.870
40,73005.417,-105.07606190,39.01816129,-14.805,-0.900
41,73005.616,-105.07606353,39.01815960,-14.219,-0.886
42,73005.817,-105.07606517,39.01815789,-12.539,-0.855
43,73006.015,-105.07606680,39.01815619,-12.656,-0.872
44,73006.197,-105.07606847,39.01815433,-14.492,-0.857
45,73006.394,-105.07607028,39.01815233,-14.844,-0.834
46,73006.576,-105.07607195,39.01815048,-14.805,-0.859
